Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Locomotion,Arm Motion,Arm Object
4333,712,117,837,-2505,5,-1376,0,0,0
4367,693,52,807,-2945,33,-1703,0,0,0
4400,650,107,753,-3239,-92,-2151,0,0,0
4433,638,187,657,-3116,-246,-2537,0,0,0
4467,604,237,687,-2343,-720,-2826,0,0,0
4500,599,470,637,-2356,-1370,-2967,0,0,0
4533,599,585,604,-2639,-1938,-2961,0,0,0
4567,609,665,552,-2348,-2438,-2775,0,0,0
4600,658,734,518,-2291,-2798,-2450,0,0,0
4633,767,725,420,-2420,-2785,-2045,0,0,0
4667,848,706,302,-2623,-2393,-1575,0,0,0
4700,959,663,117,-2779,-1872,-1141,0,0,0
4733,1038,565,-151,-2460,-1326,-806,0,0,0
4767,1035,551,-302,-1707,-844,-553,0,0,0
4800,1016,529,-412,-1180,-555,-436,0,0,0
4833,1064,445,-446,-777,-261,-260,0,0,0
4867,1058,389,-350,-203,-10,-135,0,0,0
4900,1001,410,-177,51,153,-125,0,0,0
4933,957,438,-8,342,289,-18,0,0,0
4967,931,478,73,488,365,97,0,0,0
5000,852,445,110,546,473,257,0,0,0
5033,880,418,-67,1073,453,363,0,0,0
5067,883,467,-173,1763,585,468,0,0,0
5100,926,524,-272,2094,759,577,0,0,0
5133,949,535,-293,2450,880,611,0,0,0
5167,987,582,-320,2930,1138,683,0,0,0
5200,962,655,-232,3689,1362,745,0,0,0
5233,955,849,-184,4039,1555,678,0,0,0
5267,979,1111,-127,4161,1787,759,0,0,0
5300,1072,1346,24,4237,1844,1162,0,0,0
5333,949,1431,235,4436,1372,1708,0,0,0
5367,767,1559,143,4579,1300,2178,0,0,0
5400,495,1456,118,5057,2124,2772,0,0,0
5433,324,1220,7,5108,3314,3317,0,0,0
5467,-110,1011,197,3661,5037,3407,0,0,0
5500,-254,546,812,1666,6056,3589,0,0,0
5533,-1747,-474,1331,-3023,-1093,-703,0,0,0
5567,1814,-450,-418,-867,381,1791,0,0,0
5600,456,-178,739,1977,942,-184,0,0,0
5633,943,435,424,-1295,207,2,0,0,0
5667,839,-221,551,271,-1,228,0,0,0
5700,747,-23,748,13,-160,216,0,0,0
5733,802,-171,665,-201,-83,165,0,0,0
5767,817,-126,593,-88,-26,61,0,0,0
5800,794,-101,617,-90,-34,-99,0,0,0
5833,781,-49,617,-78,-51,-77,0,0,0
5867,770,-28,618,-34,10,-23,0,0,0
5900,761,-40,609,-44,52,35,0,0,0
5933,742,-72,626,9,-41,19,0,0,0
5967,761,-103,612,70,-30,-26,0,0,0
6000,737,-92,671,84,-69,-86,0,0,0
6033,761,-85,693,-19,-79,-134,0,0,0
6067,745,-95,718,-199,-86,-168,0,0,0
6100,670,-102,739,-421,-76,-278,0,0,0
6133,588,-178,810,-544,20,-460,0,0,0
6167,608,-163,883,-621,-146,-668,0,0,0
6200,621,-144,833,-927,-236,-929,0,0,0
6233,630,-135,814,-1246,-282,-1240,0,0,0
6267,618,-59,780,-1537,-223,-1525,0,0,0
6300,584,-36,747,-1734,-106,-1720,0,0,0
6333,626,11,766,-1830,-97,-2051,0,0,0
6367,648,120,737,-1980,-233,-2234,0,0,0
6400,621,156,745,-2233,-333,-2357,0,0,0
6433,636,229,749,-2311,-629,-2594,0,0,0
6467,641,290,681,-2139,-854,-2735,0,0,0
6500,661,369,669,-1807,-1085,-2723,0,0,0
6533,645,485,659,-1879,-1418,-2710,0,0,0
6567,682,580,537,-2475,-1654,-2790,0,0,0
6600,698,567,451,-2395,-1648,-2793,0,0,0
6633,650,612,468,-1730,-1732,-2584,0,0,0
6667,632,693,404,-1496,-2020,-2419,0,0,0
6700,670,771,309,-1622,-2094,-2280,0,0,0
6733,648,738,235,-1497,-2051,-2040,0,0,0
6767,673,716,130,-1056,-1735,-1842,0,0,0
6800,730,801,73,-843,-1397,-1447,0,0,0
6833,834,779,-21,-818,-873,-1081,0,0,0
6867,820,773,18,-861,-620,-932,0,0,0
6900,826,848,-4,-1281,-576,-810,0,0,0
6933,883,736,-94,-736,-448,-727,0,0,0
6967,880,768,-123,153,-249,-391,0,0,0
7000,855,786,-108,509,-212,-128,0,0,0
7033,882,819,-155,682,-9,154,0,0,0
7067,817,848,-138,805,332,434,0,0,0
7100,759,840,-121,1017,667,629,0,0,0
7133,718,892,-103,1194,914,924,0,0,0
7167,668,885,-52,1317,1119,1253,0,0,0
7200,731,801,-5,1631,1089,1485,0,0,0
7233,821,729,58,1930,1130,1584,0,0,0
7267,859,649,135,2234,1079,1632,0,0,0
7300,877,660,130,2424,1172,1585,0,0,0
7333,834,688,158,2583,1332,1677,0,0,0
7367,794,768,92,2699,1563,1826,0,0,0
7400,788,785,67,2831,1852,2050,0,0,0
7433,746,750,89,2976,2060,2241,0,0,0
7467,765,704,95,3168,2174,2363,0,0,0
7500,820,712,91,3324,2252,2480,0,0,0
7533,722,645,184,3449,2468,2519,0,0,0
7567,719,558,253,3318,2254,2291,0,0,0
7600,780,760,-53,2977,2517,2086,0,0,0
7633,472,641,223,2713,3349,2389,0,0,0
7667,141,389,505,2096,4128,2253,0,0,0
7700,-62,-97,148,932,4963,1935,0,0,0
7733,-280,314,1084,-3529,-1982,-635,0,0,0
7767,1878,-825,-72,1438,605,594,0,0,0
7800,746,600,360,1589,1095,-503,0,0,0
7833,685,511,820,-1410,491,-166,0,0,0
7867,670,-5,801,-138,-423,63,0,0,0
7900,651,154,740,563,-356,298,0,0,0
7933,688,-25,808,-73,-173,224,0,0,0
7967,748,-26,731,-116,-111,73,0,0,0
8000,761,58,687,-121,-105,62,0,0,0
8033,706,45,700,-29,-122,23,0,0,0
8067,687,56,691,-39,-75,17,0,0,0
8100,694,60,675,-20,-2,5,0,0,0
8133,687,53,687,40,23,44,0,0,0
8167,695,59,709,50,7,-2,0,0,0
8200,706,63,698,29,-34,40,0,0,0
8233,706,41,713,58,-2,37,0,0,0
8267,682,44,756,77,-68,-20,0,0,0
8300,658,45,824,3,-144,-44,0,0,0
8333,656,43,875,-256,-207,-41,0,0,0
8367,645,25,888,-503,-283,-17,0,0,0
8400,606,-46,769,-750,-278,-160,0,0,0
8433,539,-83,900,-745,-362,-368,0,0,0
8467,515,-47,959,-695,-615,-603,0,0,0
8500,484,-9,939,-1190,-701,-818,0,0,0
8533,511,5,932,-1787,-675,-1172,0,0,0
8567,526,-12,880,-1929,-737,-1409,0,0,0
8600,593,34,792,-2024,-879,-1820,0,0,0
8633,634,133,730,-2411,-978,-2232,0,0,0
8667,682,200,587,-2500,-1030,-2468,0,0,0
8700,736,303,523,-2341,-1131,-2704,0,0,0
8733,743,445,491,-2208,-1183,-2547,0,0,0
8767,798,454,418,-2252,-1244,-2290,0,0,0
8800,818,497,391,-2267,-1226,-2137,0,0,0
8833,782,495,399,-2284,-1282,-2106,0,0,0
8867,789,459,347,-2101,-1450,-2105,0,0,0
8900,744,493,324,-1764,-1578,-2080,0,0,0
8933,743,500,275,-1494,-1684,-2066,0,0,0
8967,764,548,297,-1217,-1665,-1908,0,0,0
9000,764,548,330,-1233,-1731,-1763,0,0,0
9033,794,557,201,-1491,-1575,-1799,0,0,0
9067,855,583,133,-1357,-1206,-1586,0,0,0
9100,864,600,111,-939,-916,-1280,0,0,0
9133,911,686,44,-811,-745,-1130,0,0,0
9167,947,802,-33,-1038,-466,-874,0,0,0
9200,919,769,-40,-760,-151,-479,0,0,0
9233,911,728,-17,-288,-56,-114,0,0,0
9267,861,768,15,-259,-4,86,0,0,0
9300,809,655,49,34,78,311,0,0,0
9333,780,652,51,337,226,491,0,0,0
9367,796,622,32,619,459,543,0,0,0
9400,767,657,28,922,759,746,0,0,0
9433,750,729,-10,1027,872,837,0,0,0
9467,803,735,-56,1132,960,1120,0,0,0
9500,872,696,-38,1619,1020,1430,0,0,0
9533,920,708,-37,2348,1135,1604,0,0,0
9567,917,743,-47,2766,1294,1823,0,0,0
9600,962,754,-44,3004,1528,2113,0,0,0
9633,941,760,-2,3330,1697,2234,0,0,0
9667,881,806,67,3614,1903,2409,0,0,0
9700,790,789,55,3805,1973,2428,0,0,0
9733,751,917,-18,4031,2138,2410,0,0,0
9767,605,1012,129,4089,2384,2465,0,0,0
9800,523,961,166,4078,2508,2535,0,0,0
9833,446,950,29,3876,3093,2488,0,0,0
9867,268,730,373,3118,4172,2603,0,0,0
9900,42,446,930,1770,4819,2419,0,0,0
9933,-1518,-324,1575,-5578,927,-66,0,0,0
9967,225,408,1146,-1772,-1171,-262,0,0,0
10000,1877,-841,35,1709,658,529,0,0,0
10033,808,718,324,132,725,-517,0,0,0
10067,532,462,737,-1634,179,31,0,0,0
10100,576,-18,756,333,-579,185,0,0,0
10133,665,114,662,491,-246,339,0,0,0
10167,685,-43,798,-285,51,211,0,0,0
10200,737,26,761,-222,-100,98,0,0,0
10233,780,61,676,-82,-208,63,0,0,0
10267,729,62,665,-78,-102,42,0,0,0
10300,645,91,756,-138,-18,40,0,0,0
10333,672,63,719,-139,-60,105,0,0,0
10367,704,44,664,-86,-5,87,0,0,0
10400,685,41,710,-88,-16,69,0,0,0
10433,676,37,749,24,-126,10,0,0,0
10467,687,47,772,-16,-169,18,0,0,0
10500,712,47,761,-129,-119,72,0,0,0
10533,660,42,768,-297,-123,64,0,0,0
10567,654,-19,758,-338,-184,-30,0,0,0
10600,614,-14,786,-337,-275,-131,0,0,0
10633,605,-42,822,-392,-393,-274,0,0,0
10667,646,-33,824,-576,-564,-390,0,0,0
10700,630,-43,793,-765,-582,-562,0,0,0
10733,661,-43,742,-852,-508,-717,0,0,0
10767,693,-10,730,-1024,-565,-967,0,0,0
10800,650,-10,702,-1172,-504,-1109,0,0,0
10833,614,6,711,-1275,-350,-1242,0,0,0
10867,581,62,741,-1594,-337,-1447,0,0,0
10900,598,59,745,-1961,-342,-1716,0,0,0
10933,627,74,748,-2125,-378,-2077,0,0,0
10967,628,116,736,-2243,-490,-2328,0,0,0
11000,650,197,740,-2465,-606,-2725,0,0,0
11033,663,326,728,-2636,-807,-3036,0,0,0
11067,645,416,730,-2574,-1127,-3149,0,0,0
11100,669,535,684,-2498,-1436,-3240,0,0,0
11133,608,615,666,-2516,-1747,-3247,0,0,0
11167,592,700,509,-2405,-2073,-3102,0,0,0
11200,566,789,436,-1900,-2209,-2817,0,0,0
11233,589,778,340,-1277,-2314,-2435,0,0,0
11267,691,851,136,-1139,-2198,-1980,0,0,0
11300,847,857,-6,-1335,-1742,-1449,0,0,0
11333,921,775,62,-1277,-1138,-1007,0,0,0
11367,980,723,42,-978,-775,-570,0,0,0
11400,954,767,128,-1023,-508,-181,0,0,0
11433,927,673,188,-873,-563,43,0,0,0
11467,867,629,202,-517,-543,238,0,0,0
11500,854,608,233,-481,-594,433,0,0,0
11533,862,580,200,-574,-507,608,0,0,0
11567,840,483,186,-478,-413,662,0,0,0
11600,800,445,137,-168,-294,638,0,0,0
11633,787,425,68,41,-176,635,0,0,0
11667,811,394,-12,233,-63,585,0,0,0
11700,868,440,-115,597,89,488,0,0,0
11733,834,484,-138,1156,339,466,0,0,0
11767,867,562,-179,1623,419,522,0,0,0
11800,927,662,-205,1833,516,695,0,0,0
11833,942,663,-220,2815,589,826,0,0,0
11867,990,810,-225,3717,706,976,0,0,0
11900,975,930,-196,3991,1025,1181,0,0,0
11933,941,1083,-193,4660,1479,1438,0,0,0
11967,789,1243,-216,5086,2068,1782,0,0,0
12000,667,1306,-125,5337,2492,1964,0,0,0
12033,613,1433,-77,5497,2838,2279,0,0,0
12067,402,1417,16,5846,3389,2672,0,0,0
12100,242,1312,69,5653,4154,2829,0,0,0
12133,187,1175,152,4450,5589,3063,0,0,0
12167,-468,299,935,2896,7077,3206,0,0,0
12200,-337,-511,1584,-4248,-2984,-1815,0,0,0
12233,1877,-910,92,276,977,1083,0,0,0
12267,997,274,185,1911,610,-825,0,0,0
12300,831,797,334,-1161,-91,-267,0,0,0
12333,682,4,554,-61,-329,210,0,0,0
12367,613,78,798,604,-79,377,0,0,0
12400,784,-25,775,-61,-4,324,0,0,0
12433,845,-20,605,-7,-85,150,0,0,0
12467,804,50,607,48,-76,47,0,0,0
12500,668,99,767,43,-50,9,0,0,0
12533,691,71,759,28,-158,33,0,0,0
12567,725,44,677,-44,-137,8,0,0,0
12600,722,37,659,-178,-99,-63,0,0,0
12633,673,32,687,-204,-161,-156,0,0,0
12667,658,59,711,-67,-250,-265,0,0,0
12700,671,64,720,-67,-358,-362,0,0,0
12733,622,76,761,-193,-441,-423,0,0,0
12767,621,77,781,-573,-465,-574,0,0,0
12800,603,4,784,-776,-617,-853,0,0,0
12833,606,32,731,-852,-631,-1014,0,0,0
12867,619,67,701,-995,-617,-1328,0,0,0
12900,609,93,645,-1120,-660,-1703,0,0,0
12933,556,132,502,-1182,-556,-2065,0,0,0
12967,512,174,419,-1270,-223,-2488,0,0,0
13000,458,238,401,-1197,189,-2911,0,0,0
13033,402,291,353,-900,483,-3334,0,0,0
13067,361,279,290,-345,787,-3875,0,0,0
13100,246,347,343,69,934,-4592,0,0,0
13133,157,467,373,128,1054,-5250,0,0,0
13167,27,638,368,15,1079,-5736,0,0,0
13200,-79,807,375,108,1332,-5983,0,0,0
13233,-247,967,457,386,1596,-5744,0,0,0
13267,-406,1124,496,267,1819,-5525,0,0,0
13300,-599,1132,530,153,2077,-5093,0,0,0
13333,-844,886,591,907,2171,-4953,0,0,0
13367,-1454,1194,709,1232,1703,-5037,0,0,0
13400,-1245,1323,641,208,1087,-3849,0,0,0
13433,-868,919,499,-294,968,-2260,0,0,0
13467,-810,779,384,-475,1066,-936,0,0,0
13500,-781,777,344,-1188,1421,-78,0,0,0
13533,-827,794,362,-2231,1648,662,0,0,0
13567,-823,438,421,-2273,1736,707,0,0,0
13600,-836,469,576,-1693,1366,648,0,0,0
13633,-881,383,557,-1190,897,885,0,0,0
13667,-898,346,479,-842,651,979,0,0,0
13700,-933,402,432,-932,547,1142,0,0,0
13733,-928,355,379,-941,394,1135,0,0,0
13767,-903,315,330,-730,232,952,0,0,0
13800,-904,320,316,-483,80,769,0,0,0
13833,-896,339,299,-284,-29,657,0,0,0
13867,-895,354,278,-214,-16,594,0,0,0
13900,-898,358,277,-194,15,411,0,0,0
13933,-870,380,279,-195,35,252,0,0,0
13967,-846,391,261,-103,37,168,0,0,0
14000,-835,419,259,-95,72,143,0,0,0
14033,-839,444,280,-106,107,66,0,0,0
14067,-843,441,298,-28,98,45,0,0,0
14100,-842,454,305,54,67,-3,0,0,0
14133,-837,462,316,71,92,-14,0,0,0
14167,-837,476,332,41,93,-50,0,0,0
14200,-828,473,333,30,80,-37,0,0,0
14233,-814,473,329,64,59,-72,0,0,0
14267,-814,498,337,29,36,-70,0,0,0
14300,-820,492,332,15,-19,-80,0,0,0
14333,-824,489,321,21,-31,-33,0,0,0
14367,-824,483,308,40,-71,34,0,0,0
14400,-826,479,298,9,-70,64,0,0,0
14433,-832,479,288,49,-75,34,0,0,0
14467,-826,471,284,57,-41,-2,0,0,0
14500,-821,463,280,11,-10,40,0,0,0
14533,-826,462,283,30,2,45,0,0,0
14567,-829,470,292,54,19,-21,0,0,0
14600,-822,476,300,45,4,-12,0,0,0
14633,-827,479,309,39,-20,-23,0,0,0
14667,-830,479,315,-5,28,2,0,0,0
14700,-829,474,317,-10,26,39,0,0,0
14733,-828,472,316,-9,16,-8,0,0,0
14767,-831,476,318,-1,-20,-17,0,0,0
14800,-832,472,312,-1,-18,-17,0,0,0
14833,-831,463,305,-28,13,-27,0,0,0
14867,-828,469,303,-37,-3,-27,0,0,0
14900,-828,471,299,-55,2,-66,0,0,0
14933,-823,464,295,-9,8,-77,0,0,0
14967,-825,468,291,-9,-19,-46,0,0,0
15000,-834,478,295,-51,31,-25,0,0,0
15033,-834,473,300,-40,14,1,0,0,0
15067,-834,465,302,-52,30,22,0,0,0
15100,-831,461,300,-6,-6,35,0,0,0
15133,-829,460,304,-16,-4,45,0,0,0
15167,-834,452,302,-31,21,45,0,0,0
15200,-837,448,299,-20,21,39,0,0,0
15233,-841,449,303,-23,2,59,0,0,0
15267,-841,446,305,55,12,16,0,0,0
15300,-840,453,308,24,1,1,0,0,0
15333,-840,454,310,-9,33,2,0,0,0
15367,-834,451,309,1,22,5,0,0,0
15400,-823,450,306,3,-2,13,0,0,0
15433,-823,463,304,75,-24,-17,0,0,0
15467,-841,476,309,87,-50,28,0,0,0
15500,-854,461,300,67,-14,119,0,0,0
15533,-858,473,318,-4,29,161,0,0,0
15567,-859,457,313,-57,35,102,0,0,0
15600,-866,452,321,-62,40,16,0,0,0
15633,-856,436,322,-46,-15,-66,0,0,0
15667,-857,448,331,-84,-2,-126,0,0,0
15700,-854,441,329,-112,-38,-107,0,0,0
15733,-851,437,324,-86,-9,-174,0,0,0
15767,-835,440,328,-60,-55,-232,0,0,0
15800,-827,434,318,-67,-59,-203,0,0,0
15833,-831,429,313,-61,-74,-201,0,0,0
15867,-830,439,311,-36,-55,-196,0,0,0
15900,-828,439,308,-32,-50,-171,0,0,0
15933,-830,440,305,-39,-58,-132,0,0,0
15967,-828,435,305,-44,-41,-142,0,0,0
16000,-829,432,311,-18,-14,-46,0,0,0
16033,-830,433,312,-39,10,-49,0,0,0
16067,-836,431,317,-68,55,7,0,0,0
16100,-843,420,322,1,37,0,0,0,0
16133,-837,419,327,1,35,44,0,0,0
16167,-853,421,333,-31,63,55,0,0,0
16200,-848,410,336,-52,54,63,0,0,0
16233,-838,403,335,-50,37,101,0,0,0
16267,-847,402,330,-31,27,45,0,0,0
16300,-864,402,331,-10,5,31,0,0,0
16333,-854,402,327,-31,29,65,0,0,0
16367,-857,407,326,-54,48,25,0,0,0
16400,-862,405,325,-77,37,-16,0,0,0
16433,-858,404,319,-45,17,-62,0,0,0
16467,-861,409,316,-15,16,-115,0,0,0
16500,-861,407,308,-53,30,-96,0,0,0
16533,-853,402,305,-57,24,-100,0,0,0
16567,-837,397,296,-34,10,-56,0,0,0
16600,-838,402,288,-40,-18,-118,0,0,0
16633,-867,394,287,-64,-8,-92,0,0,0
16667,-887,394,293,-40,29,-43,0,0,0
16700,-891,404,306,-15,28,-64,0,0,0
16733,-866,403,310,-111,71,-38,0,0,0
16766,-876,407,319,-178,78,-37,0,0,0
16800,-888,389,338,-230,106,-18,0,0,0
16833,-880,370,353,-197,105,77,0,0,0
16866,-883,355,365,-204,99,180,0,0,0
16900,-896,347,373,-194,53,204,0,0,0
16933,-898,328,384,-217,5,166,0,0,0
16966,-879,309,387,-171,-22,153,0,0,0
17000,-861,298,384,-80,-59,97,0,0,0
17033,-856,309,372,-31,-72,49,0,0,0
17066,-859,313,357,-37,-81,-19,0,0,0
17100,-862,316,347,20,-88,-103,0,0,0
17133,-862,328,338,115,-105,-114,0,0,0
17166,-857,340,330,137,-75,-77,0,0,0
17200,-855,352,335,155,-89,-60,0,0,0
17233,-854,354,336,179,-53,-22,0,0,0
17266,-851,356,341,222,-61,-17,0,0,0
17300,-844,357,341,234,-87,28,0,0,0
17333,-831,352,343,234,-47,63,0,0,0
17366,-846,364,345,201,-34,-8,0,0,0
17400,-839,365,347,167,-35,-30,0,0,0
17433,-834,369,346,140,-32,-81,0,0,0
17466,-842,383,345,96,16,-99,0,0,0
17500,-890,398,353,50,51,-117,0,0,0
17533,-921,396,363,42,33,-89,0,0,0
17566,-894,389,366,138,52,-62,0,0,0
17600,-864,403,358,153,-7,24,0,0,0
17633,-846,401,355,67,10,-8,0,0,0
17666,-844,397,357,3,30,14,0,0,0
17700,-856,396,349,-1,35,20,0,0,0
17733,-873,388,336,-20,-1,45,0,0,0
17766,-883,378,336,9,-28,66,0,0,0
17800,-876,364,330,72,-43,93,0,0,0
17833,-872,359,331,65,12,100,0,0,0
17866,-868,351,330,77,-35,76,0,0,0
17900,-863,353,333,116,-33,28,0,0,0
17933,-866,357,336,100,-27,-32,0,0,0
17966,-874,361,337,124,-28,-80,0,0,0
18000,-871,365,338,103,-19,-111,0,0,0
18033,-861,371,330,111,-31,-138,0,0,0
18066,-854,376,332,96,-41,-109,0,0,0
18100,-854,375,325,119,-65,-103,0,0,0
18133,-865,380,322,166,-71,-116,0,0,0
18166,-872,385,329,163,-54,-45,0,0,0
18200,-878,391,327,151,-50,-66,0,0,0
18233,-857,391,327,117,-12,-62,0,0,0
18266,-851,392,328,71,-5,-111,0,0,0
18300,-852,381,327,42,12,-89,0,0,0
18333,-852,379,328,-3,40,-50,0,0,0
18366,-864,387,328,-10,32,-62,0,0,0
18400,-875,382,331,-9,25,-44,0,0,0
18433,-874,384,333,8,31,-63,0,0,0
18466,-868,383,326,-30,34,-14,0,0,0
18500,-864,378,325,-93,48,-29,0,0,0
18533,-879,375,323,-139,43,3,0,0,0
18566,-876,362,320,-125,25,-42,0,0,0
18600,-871,357,323,-151,-10,-45,0,0,0
18633,-875,342,332,-150,-16,23,0,0,0
18666,-881,323,343,-133,-50,97,0,0,0
18700,-882,317,351,-40,-89,73,0,0,0
18733,-888,312,358,-20,-79,64,0,0,0
18766,-871,292,352,22,-128,75,0,0,0
18800,-879,307,362,91,-72,2,0,0,0
18833,-889,317,361,87,-77,17,0,0,0
18866,-897,316,361,159,-60,-53,0,0,0
18900,-910,334,354,197,-51,-94,0,0,0
18933,-861,334,348,200,-9,-157,0,0,0
