Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Magnetic X,Magnetic Y,Magnetic Z,Locomotion,Arm Motion,Arm Object
3367,-310,-70,1020,-2040,-2050,280,82,485,-517,0,0,0
3400,-224,121,999,-2540,-2099,-439,54,521,-485,0,0,0
3433,-130,327,798,-3704,-2099,-1113,7,568,-425,0,0,0
3467,35,223,691,-4641,-1790,-1582,-45,623,-334,0,0,0
3500,254,128,672,-3734,-1771,-2208,-119,659,-232,0,0,0
3533,426,196,604,-3323,-1592,-2653,-186,671,-150,0,0,0
3567,611,196,579,-3636,-1409,-2924,-235,664,-59,0,0,0
3600,719,180,511,-3727,-1364,-3143,-301,638,36,0,0,0
3633,823,152,382,-3621,-1351,-3158,-361,595,129,0,0,0
3667,785,252,500,-2945,-1554,-3043,-427,526,211,0,0,0
3700,835,268,226,-2415,-1867,-2822,-461,464,282,0,0,0
3733,879,211,-65,-1722,-2002,-2535,-471,409,347,0,0,0
3767,982,236,-248,-310,-1918,-2015,-481,365,388,0,0,0
3800,1085,360,-392,698,-1401,-1196,-482,349,410,0,0,0
3833,1089,374,-362,697,-463,-538,-473,339,409,0,0,0
3867,1087,246,-204,1189,336,162,-473,349,396,0,0,0
3900,966,213,38,1602,538,461,-485,377,374,0,0,0
3933,989,146,24,1489,50,381,-485,400,348,0,0,0
3967,1056,83,-97,3008,-369,188,-479,428,319,0,0,0
4000,1148,250,-240,4530,-602,146,-466,469,259,0,0,0
4033,1250,449,-294,4823,-767,5,-464,503,192,0,0,0
4067,1252,695,-393,5278,-441,92,-467,525,127,0,0,0
4100,1131,1001,-375,6278,207,374,-463,539,19,0,0,0
4133,983,1381,-257,6482,580,772,-457,539,-103,0,0,0
4167,866,1397,-316,6661,1275,1388,-426,517,-243,0,0,0
4200,752,1235,-525,7543,2365,1981,-370,469,-392,0,0,0
4233,443,1133,-441,7501,4076,2105,-299,386,-533,0,0,0
4267,131,898,-36,6020,6151,1954,-159,267,-651,0,0,0
4300,-1347,903,1440,546,-2712,2662,-24,181,-703,0,0,0
4333,1541,-519,-747,-915,2440,923,-16,241,-680,0,0,0
4367,903,-215,717,1122,1123,-1184,23,237,-682,0,0,0
4400,954,353,173,-305,217,-221,22,259,-669,0,0,0
4433,857,222,457,-41,-199,215,19,260,-669,0,0,0
4467,754,15,841,167,-212,511,18,258,-670,0,0,0
4500,845,-207,573,-46,-180,351,29,224,-685,0,0,0
4533,823,-167,496,58,-81,15,27,226,-685,0,0,0
4567,815,-59,524,78,-38,-165,16,248,-673,0,0,0
4600,791,-3,555,46,49,-181,13,247,-674,0,0,0
4633,795,12,590,67,43,-145,15,245,-675,0,0,0
4667,790,-10,573,188,-13,-139,15,227,-686,0,0,0
4700,809,-7,518,264,-51,-195,13,222,-688,0,0,0
4733,795,13,579,365,4,-233,6,226,-683,0,0,0
4767,815,120,620,363,-70,-173,3,217,-686,0,0,0
4800,805,108,562,230,-39,-163,1,210,-689,0,0,0
4833,810,139,610,135,12,-130,-1,196,-693,0,0,0
4867,837,154,679,11,-203,-119,-5,195,-695,0,0,0
4900,878,105,594,-40,-199,-1,-12,204,-689,0,0,0
4933,855,110,596,-73,-77,53,-15,203,-689,0,0,0
4967,773,69,673,-409,37,57,-15,209,-689,0,0,0
5000,598,17,781,-921,255,-122,-13,223,-684,0,0,0
5033,517,6,1025,-1731,614,-390,-4,254,-673,0,0,0
5067,414,-26,1048,-2593,775,-669,6,304,-651,0,0,0
5100,411,-86,929,-3213,1022,-985,13,365,-613,0,0,0
5133,439,-86,919,-3454,1106,-1382,16,433,-567,0,0,0
5167,487,-136,844,-2899,1000,-1961,1,498,-512,0,0,0
5200,527,-42,814,-2455,862,-2568,-28,537,-469,0,0,0
5233,558,123,811,-2822,911,-3007,-59,568,-424,0,0,0
5267,527,261,917,-3300,849,-3315,-113,595,-366,0,0,0
5300,537,280,972,-3074,517,-3488,-175,609,-306,0,0,0
5333,513,306,1045,-2645,-69,-3674,-266,606,-251,0,0,0
5367,447,400,1062,-2848,-708,-3913,-349,583,-190,0,0,0
5400,392,425,951,-2846,-1406,-4073,-415,554,-124,0,0,0
5433,409,453,774,-2102,-1935,-4137,-493,497,-56,0,0,0
5467,462,583,741,-1332,-2329,-3780,-554,430,8,0,0,0
5500,469,735,638,-1467,-2675,-3521,-609,350,82,0,0,0
5533,529,752,405,-2171,-2446,-3246,-634,278,155,0,0,0
5567,642,656,261,-1782,-1880,-2860,-645,213,214,0,0,0
5600,829,698,126,-931,-1275,-2275,-651,154,255,0,0,0
5633,959,849,9,-1235,-765,-1731,-653,107,281,0,0,0
5667,1006,808,-47,-1617,-343,-1397,-644,58,299,0,0,0
5700,1069,708,-93,-725,-77,-1095,-645,24,305,0,0,0
5733,1145,676,-157,187,73,-711,-654,7,306,0,0,0
5767,1092,731,-69,554,89,-342,-657,1,302,0,0,0
5800,942,811,48,400,220,3,-658,2,299,0,0,0
5833,813,751,94,744,396,336,-650,15,286,0,0,0
5867,719,765,59,1347,378,609,-654,35,276,0,0,0
5900,750,837,-68,1957,537,836,-665,59,263,0,0,0
5933,803,979,-147,3076,662,1215,-668,100,241,0,0,0
5967,817,1262,-219,3559,732,1652,-666,153,208,0,0,0
6000,789,1459,-319,4293,823,2222,-649,221,164,0,0,0
6033,848,1607,-366,5836,1162,2825,-632,293,97,0,0,0
6067,807,1811,-301,6921,1616,3162,-618,357,7,0,0,0
6100,735,1809,-168,6931,1862,3153,-574,403,-113,0,0,0
6133,560,1809,-220,7660,1878,3372,-518,419,-245,0,0,0
6167,57,1809,-376,9352,2445,3152,-429,386,-420,0,0,0
6200,-199,1804,152,9267,3693,2298,-341,265,-576,0,0,0
6233,-182,1481,530,6135,6696,1870,-221,140,-678,0,0,0
6267,346,-1424,-336,890,-3739,158,-161,85,-704,0,0,0
6300,1198,-258,-71,-1452,3307,306,-109,92,-713,0,0,0
6333,1268,10,-421,-525,-313,-346,-82,97,-709,0,0,0
6367,529,381,906,37,47,419,-82,97,-708,0,0,0
6400,842,-123,524,-121,341,378,-83,124,-708,0,0,0
6433,970,111,189,122,-77,232,-82,119,-709,0,0,0
6467,947,-119,527,-419,142,82,-81,124,-709,0,0,0
6500,870,-11,457,-163,347,-86,-67,118,-709,0,0,0
6533,870,45,371,39,171,-137,-64,118,-708,0,0,0
6567,857,27,470,-273,172,-103,-62,133,-706,0,0,0
6600,863,26,470,13,72,-59,-61,136,-707,0,0,0
6633,883,66,484,-27,-18,-42,-61,137,-708,0,0,0
6667,890,32,438,-32,12,-55,-61,127,-709,0,0,0
6700,876,16,479,-2,44,-66,-60,129,-708,0,0,0
6733,897,29,475,-50,147,-163,-58,136,-708,0,0,0
6767,895,41,517,-208,306,-198,-56,138,-708,0,0,0
6800,848,14,537,-233,316,-198,-50,144,-708,0,0,0
6833,799,20,567,-151,284,-235,-43,144,-707,0,0,0
6867,781,0,614,-380,234,-350,-40,149,-705,0,0,0
6900,739,31,684,-862,265,-513,-36,167,-702,0,0,0
6933,561,11,829,-1333,323,-629,-34,194,-693,0,0,0
6967,482,-56,894,-1509,227,-977,-35,225,-682,0,0,0
7000,466,-16,956,-1813,124,-1409,-48,261,-667,0,0,0
7033,463,55,982,-2284,-40,-1936,-70,305,-645,0,0,0
7067,423,164,972,-3013,9,-2531,-92,350,-617,0,0,0
7100,387,275,970,-3965,-101,-2977,-133,407,-569,0,0,0
7133,471,283,866,-4572,-8,-3357,-185,465,-502,0,0,0
7167,495,248,901,-4361,53,-3895,-264,506,-425,0,0,0
7200,424,428,900,-4128,-164,-4404,-342,515,-353,0,0,0
7233,327,564,898,-3622,-456,-4802,-408,498,-289,0,0,0
7267,269,718,891,-2716,-963,-4986,-491,447,-231,0,0,0
7300,209,987,810,-2464,-1574,-5074,-568,372,-174,0,0,0
7333,153,1097,701,-2110,-2090,-4819,-646,272,-109,0,0,0
7367,168,1116,567,-1407,-2444,-4479,-688,179,-47,0,0,0
7400,169,1242,435,-886,-2807,-3894,-704,99,17,0,0,0
7433,345,1224,174,-343,-2638,-3240,-711,22,80,0,0,0
7467,597,1177,-7,228,-2077,-2263,-705,-36,136,0,0,0
7500,826,1297,-142,-157,-1257,-1304,-685,-76,175,0,0,0
7533,862,1197,-210,-1143,-270,-755,-679,-100,188,0,0,0
7567,836,1005,-139,-870,338,-333,-692,-111,186,0,0,0
7600,784,992,12,-100,377,2,-694,-114,173,0,0,0
7633,846,994,14,362,329,381,-698,-110,168,0,0,0
7667,776,1011,55,1118,382,803,-690,-92,151,0,0,0
7700,686,1077,86,1748,433,1282,-692,-63,143,0,0,0
7733,593,1252,79,1933,575,1859,-708,-25,142,0,0,0
7767,601,1175,58,2232,758,2379,-708,31,127,0,0,0
7800,695,1091,55,2637,1024,2803,-705,97,101,0,0,0
7833,782,1106,-29,3102,1403,3100,-683,172,55,0,0,0
7867,806,1159,-60,3494,1915,3432,-660,246,-5,0,0,0
7900,677,1239,-93,4091,2291,3718,-637,309,-73,0,0,0
7933,587,1364,-190,4631,2667,3821,-583,366,-171,0,0,0
7967,444,1525,-18,4737,2860,3812,-514,400,-281,0,0,0
8000,365,1505,-174,5153,3030,3784,-414,408,-410,0,0,0
8033,60,1637,-122,5618,3981,3871,-301,377,-526,0,0,0
8067,-438,1288,306,5784,4627,3763,-185,310,-621,0,0,0
8100,-409,1079,83,4876,6170,3676,-20,206,-688,0,0,0
8133,-760,-1270,-569,-1159,-5451,-1894,-17,194,-690,0,0,0
8167,1816,-1467,1609,1005,210,1158,-10,197,-692,0,0,0
8200,693,950,335,920,1223,44,3,148,-708,0,0,0
8233,916,174,414,-1205,484,-85,15,182,-697,0,0,0
8267,701,69,507,-279,-227,183,13,199,-690,0,0,0
8300,678,199,624,-88,-100,327,10,198,-690,0,0,0
8333,802,-37,572,-217,12,198,22,196,-693,0,0,0
8367,846,4,570,87,-255,12,19,197,-693,0,0,0
8400,800,93,549,-45,-159,-61,9,205,-690,0,0,0
8433,804,106,584,-85,-33,-8,4,208,-689,0,0,0
8467,788,134,578,62,17,40,3,207,-690,0,0,0
8500,799,125,574,89,-9,89,6,196,-693,0,0,0
8533,819,100,570,44,-107,84,7,197,-694,0,0,0
8567,813,86,621,9,-57,95,3,201,-690,0,0,0
8600,817,82,589,-71,-19,98,2,201,-691,0,0,0
8633,819,63,612,-98,25,42,4,205,-691,0,0,0
8667,813,83,580,-71,-20,-27,2,201,-690,0,0,0
8700,803,80,602,-158,-19,-27,2,205,-690,0,0,0
8733,757,65,677,-277,38,-48,2,210,-687,0,0,0
8767,697,51,807,-606,84,-93,1,220,-684,0,0,0
8800,542,13,1074,-1377,-151,-370,-1,243,-675,0,0,0
8833,497,-36,1150,-2150,-610,-774,-23,285,-657,0,0,0
8867,421,-72,1119,-2457,-785,-1140,-50,335,-630,0,0,0
8900,381,-7,1174,-2793,-814,-1401,-79,386,-594,0,0,0
8933,439,-8,1101,-3259,-1091,-2017,-126,436,-548,0,0,0
8967,471,190,879,-4197,-1033,-2607,-185,486,-484,0,0,0
9000,519,385,692,-5178,-574,-3150,-265,533,-387,0,0,0
9033,546,570,694,-5861,-132,-3518,-333,563,-280,0,0,0
9067,573,709,676,-5991,74,-3723,-391,565,-174,0,0,0
9100,570,749,660,-5247,57,-3853,-460,533,-76,0,0,0
9133,550,775,746,-4432,-284,-4077,-524,471,5,0,0,0
9167,497,876,700,-3946,-957,-4178,-596,381,82,0,0,0
9200,400,862,588,-3375,-1679,-4319,-638,282,154,0,0,0
9233,364,905,389,-2437,-2224,-4307,-654,189,216,0,0,0
9267,637,923,43,-850,-1940,-3645,-659,95,270,0,0,0
9300,1030,1044,-90,472,-1343,-2287,-656,38,305,0,0,0
9333,1029,1076,-214,274,-536,-1356,-638,-1,326,0,0,0
9367,1062,976,-211,-177,242,-693,-639,-20,325,0,0,0
9400,1016,814,35,-151,479,-375,-654,-22,317,0,0,0
9433,1012,836,42,-176,374,-132,-657,-29,309,0,0,0
9467,977,753,93,446,439,292,-662,-27,300,0,0,0
9500,884,807,208,842,214,483,-655,-15,289,0,0,0
9533,792,823,158,1053,87,648,-655,7,286,0,0,0
9567,693,899,67,1790,287,994,-664,34,282,0,0,0
9600,669,963,7,2377,403,1370,-666,78,269,0,0,0
9633,810,1032,-84,2585,485,1717,-664,130,249,0,0,0
9667,874,1095,-72,3010,406,2076,-645,189,226,0,0,0
9700,946,1145,-143,4174,466,2351,-631,259,189,0,0,0
9733,1012,1230,-227,5640,639,2683,-623,330,135,0,0,0
9767,1004,1425,-191,6321,1116,2866,-592,400,44,0,0,0
9800,814,1556,-210,5741,1860,2708,-551,447,-69,0,0,0
9833,703,1580,-147,6017,2359,2928,-485,479,-207,0,0,0
9867,242,1702,-235,6475,3005,3170,-406,473,-349,0,0,0
9900,-39,1425,-314,7124,4473,3503,-310,427,-491,0,0,0
9933,-160,1020,-383,6464,6645,3489,-145,325,-624,0,0,0
9967,-1374,652,1077,2985,3835,2793,44,227,-682,0,0,0
10000,1168,327,-1107,-1651,246,2052,-12,311,-648,0,0,0
10033,1336,-1220,674,2711,1856,129,36,292,-661,0,0,0
10067,772,474,339,789,598,177,43,279,-659,0,0,0
10100,850,273,311,-974,-127,7,41,292,-655,0,0,0
10133,676,-183,750,-246,-268,93,36,308,-647,0,0,0
10167,885,-177,609,130,12,158,64,261,-674,0,0,0
10200,862,-82,514,15,-240,35,62,258,-672,0,0,0
10233,797,-108,562,-22,-210,-53,34,293,-655,0,0,0
10267,808,-97,612,43,-61,-49,30,292,-654,0,0,0
10300,818,-30,587,95,-80,-40,27,290,-657,0,0,0
10333,807,-29,552,29,-58,-4,39,267,-670,0,0,0
10367,801,-50,574,37,-14,-2,38,269,-670,0,0,0
10400,785,-51,619,41,30,47,29,283,-660,0,0,0
10433,801,-59,588,53,40,64,29,282,-660,0,0,0
10467,806,-18,604,16,-23,102,27,281,-660,0,0,0
10500,831,-66,581,28,-91,31,34,270,-668,0,0,0
10533,829,-70,547,30,-67,-12,32,270,-667,0,0,0
10567,795,-66,591,-1,27,-63,26,276,-663,0,0,0
10600,797,-53,593,-18,28,-102,25,280,-663,0,0,0
10633,779,-50,587,-48,50,-149,26,278,-663,0,0,0
10667,783,-50,584,-46,12,-166,25,273,-664,0,0,0
10700,773,-63,610,-28,-49,-253,23,272,-664,0,0,0
10733,727,-47,680,-249,-29,-296,16,281,-662,0,0,0
10767,655,-60,777,-422,-58,-475,8,289,-659,0,0,0
10800,533,-49,841,-782,27,-663,1,302,-652,0,0,0
10833,389,-144,991,-1309,189,-906,-6,323,-641,0,0,0
10867,333,-139,1059,-1793,167,-1360,-22,356,-620,0,0,0
10900,300,-122,1105,-2456,39,-1926,-38,396,-593,0,0,0
10933,299,-80,1040,-3031,-126,-2771,-78,444,-552,0,0,0
10967,314,93,979,-3300,-109,-3487,-136,486,-501,0,0,0
11000,308,227,1041,-2962,-412,-4233,-227,509,-444,0,0,0
11033,294,649,1010,-3605,-754,-4871,-320,509,-384,0,0,0
11067,238,1072,1024,-4987,-1070,-5177,-400,496,-304,0,0,0
11100,241,1027,881,-4901,-1234,-5376,-493,456,-205,0,0,0
11133,164,1144,937,-3078,-1790,-5203,-575,381,-126,0,0,0
11167,149,1420,784,-1919,-2671,-4793,-655,281,-44,0,0,0
11200,280,1596,334,-2015,-3185,-4132,-691,190,38,0,0,0
11233,538,1452,-40,-1790,-2915,-3143,-701,115,107,0,0,0
11267,749,1243,-257,-940,-2431,-2168,-698,57,172,0,0,0
11300,1010,1066,-483,-321,-1774,-1376,-694,20,220,0,0,0
11333,1082,917,-522,-195,-933,-949,-670,-4,257,0,0,0
11367,1073,867,-369,-10,-393,-643,-667,-23,269,0,0,0
11400,1080,816,-290,736,55,-210,-679,-29,268,0,0,0
11433,976,993,-184,1230,374,305,-682,-15,262,0,0,0
11467,880,991,-119,1667,759,832,-689,7,245,0,0,0
11500,785,1053,-145,2166,1146,1290,-678,44,222,0,0,0
11533,779,1154,-74,2285,1311,1671,-682,90,187,0,0,0
11567,849,1199,-141,2635,1343,2191,-695,140,151,0,0,0
11600,942,1217,-167,3622,1431,2761,-684,203,103,0,0,0
11633,839,1216,-156,4233,1438,3157,-664,275,40,0,0,0
11667,797,1313,-261,4504,1405,3157,-615,346,-34,0,0,0
11700,657,1502,-232,5069,1290,2895,-576,392,-118,0,0,0
11733,480,1567,-178,6006,1176,2697,-546,417,-206,0,0,0
11767,196,1793,-421,6603,1938,2673,-493,407,-323,0,0,0
11800,-120,1659,-485,6638,3330,2529,-421,364,-454,0,0,0
11833,-86,1345,-771,6518,6001,2720,-287,275,-602,0,0,0
11867,-763,866,-175,4188,9362,2390,-73,177,-700,0,0,0
11900,927,-1527,-772,-6601,-3483,-1943,-70,235,-683,0,0,0
11933,1572,-1534,1217,3309,1762,222,-21,225,-694,0,0,0
11967,1196,618,159,661,1226,54,21,171,-716,0,0,0
12000,987,458,49,-1366,322,-371,-11,228,-675,0,0,0
12033,681,-30,1009,-102,-381,53,-14,245,-670,0,0,0
12067,803,-17,569,-198,58,314,14,219,-692,0,0,0
12100,826,-47,507,-185,191,21,19,224,-691,0,0,0
12133,845,-15,547,25,-69,-120,19,224,-691,0,0,0
12167,860,85,549,163,-221,-89,-9,234,-675,0,0,0
12200,841,79,575,-2,-1,-1,-12,234,-676,0,0,0
12233,830,45,567,-14,105,99,4,223,-687,0,0,0
12267,824,5,554,128,37,64,6,222,-689,0,0,0
12300,819,40,558,140,-39,-5,7,218,-688,0,0,0
12333,821,64,558,146,-100,1,-6,220,-683,0,0,0
12367,814,89,557,167,-68,-1,-8,217,-684,0,0,0
12400,813,82,555,100,-15,93,-3,211,-692,0,0,0
12433,804,26,543,73,68,62,-1,207,-691,0,0,0
12467,753,5,570,78,122,-51,2,205,-694,0,0,0
12500,673,-3,583,48,172,-222,-2,206,-688,0,0,0
12533,522,-19,687,-147,212,-450,-1,208,-687,0,0,0
12567,460,-33,762,-410,168,-852,4,211,-689,0,0,0
12600,444,-29,749,-482,64,-1321,-4,221,-685,0,0,0
12633,427,28,653,-415,41,-1830,-18,228,-681,0,0,0
12667,381,129,507,-196,130,-2319,-49,235,-678,0,0,0
12700,362,272,409,486,347,-2722,-65,224,-678,0,0,0
12733,333,398,451,1366,475,-3038,-69,192,-684,0,0,0
12767,287,607,541,1771,400,-3289,-80,141,-698,0,0,0
12800,340,729,481,1325,179,-3587,-91,88,-703,0,0,0
12833,317,793,399,99,292,-3996,-104,48,-707,0,0,0
12867,192,851,373,-865,445,-4431,-107,43,-706,0,0,0
12900,92,748,333,-885,794,-4587,-94,49,-706,0,0,0
12933,-23,762,420,-105,950,-4791,-81,43,-709,0,0,0
12967,-195,1106,586,-108,771,-4718,-69,31,-716,0,0,0
13000,-313,1055,563,-187,601,-4472,-65,30,-721,0,0,0
13033,-361,1041,532,220,514,-4354,-57,26,-729,0,0,0
13067,-447,970,348,839,764,-4134,-50,4,-740,0,0,0
13100,-504,937,332,1528,1327,-3719,-27,-28,-753,0,0,0
13133,-540,954,489,1390,1603,-3597,9,-65,-770,0,0,0
13167,-667,945,518,382,1549,-3708,51,-78,-789,0,0,0
13200,-800,924,481,-530,1689,-3597,95,-59,-805,0,0,0
13233,-1026,745,536,-742,1852,-3296,135,-26,-816,0,0,0
13267,-1191,790,614,-552,1741,-2478,176,8,-822,0,0,0
13300,-1080,786,543,-791,1353,-1375,208,39,-827,0,0,0
13333,-990,699,347,-1514,1283,-156,251,90,-827,0,0,0
13367,-998,524,273,-1717,1295,876,289,122,-816,0,0,0
13400,-1031,427,243,-1522,1103,1465,309,135,-806,0,0,0
13433,-1011,344,257,-968,785,1642,337,133,-795,0,0,0
13467,-998,176,546,-962,441,1419,357,120,-785,0,0,0
13500,-1204,-498,665,-1866,-244,-50,366,146,-764,0,0,0
13533,-851,12,101,-722,-138,-156,357,180,-749,0,0,0
13567,-1026,253,132,565,-30,-78,348,181,-745,0,0,0
13600,-930,339,110,666,-294,-7,344,168,-749,0,0,0
13633,-894,303,58,339,-252,-166,339,159,-756,0,0,0
13667,-932,314,127,299,-99,-238,337,149,-765,0,0,0
13700,-964,346,229,406,-131,-88,334,143,-771,0,0,0
13733,-961,312,247,304,-52,29,328,141,-777,0,0,0
13767,-950,299,271,158,-34,-1,330,136,-781,0,0,0
13800,-938,306,243,106,-89,-21,328,134,-781,0,0,0
13833,-931,302,212,141,-144,-64,325,128,-784,0,0,0
13867,-930,319,197,186,-119,-28,323,127,-789,0,0,0
13900,-954,314,201,50,-48,-70,319,127,-789,0,0,0
13933,-982,276,225,3,-22,-141,320,130,-789,0,0,0
13967,-969,262,226,-30,15,-233,318,132,-790,0,0,0
14000,-941,238,222,-89,-1,-265,317,135,-791,0,0,0
14033,-944,227,211,-123,59,-306,314,141,-791,0,0,0
14067,-953,224,215,-37,100,-324,313,149,-788,0,0,0
14100,-943,221,208,60,40,-356,312,154,-786,0,0,0
14133,-933,202,198,124,-6,-359,306,156,-785,0,0,0
14167,-950,203,197,221,-23,-323,304,154,-784,0,0,0
14200,-959,202,201,145,-14,-371,298,155,-785,0,0,0
14233,-963,172,194,204,11,-359,296,159,-785,0,0,0
